UpperLimit,LowerLimit,timestamp
11546.982074355701,1115.0179256442989,2014-06-30T02:00:00.000+02:00
37899.01328492514,-6526.804951591808,2014-07-01T02:00:00.000+02:00
35913.82646998758,-5265.53480332091,2014-07-02T02:00:00.000+02:00
34062.35098042756,-3842.2676470942297,2014-07-03T02:00:00.000+02:00
25870.657783824132,-2560.491117157464,2014-07-04T02:00:00.000+02:00
25115.062371560587,-2193.520704893919,2014-07-05T02:00:00.000+02:00
25212.41404457563,-3562.914044575631,2014-07-06T02:00:00.000+02:00
31803.195674560182,-5066.445674560182,2014-07-07T02:00:00.000+02:00
37004.546564715,-6526.963231381667,2014-07-08T02:00:00.000+02:00
37469.724136233395,-5973.557469566729,2014-07-09T02:00:00.000+02:00
37461.89515516611,-4990.603488499439,2014-07-10T02:00:00.000+02:00
37324.182059063634,-3370.1820590636307,2014-07-11T02:00:00.000+02:00
35911.78600771104,-2763.8276743776987,2014-07-12T02:00:00.000+02:00
30812.26394789408,-3581.38894789408,2014-07-13T02:00:00.000+02:00
35277.01080367174,-6469.052470338413,2014-07-14T02:00:00.000+02:00
37395.896231996216,-6871.187898662882,2014-07-15T02:00:00.000+02:00
37303.7086003318,-5465.583600331804,2014-07-16T02:00:00.000+02:00
37106.00265949509,-4400.585992828421,2014-07-17T02:00:00.000+02:00
37007.55698186073,-3185.4736485274007,2014-07-18T02:00:00.000+02:00
35611.06235049502,-2728.5623504950236,2014-07-19T02:00:00.000+02:00
29309.022101607035,-2875.8554349403657,2014-07-20T02:00:00.000+02:00
33411.453763259626,-5369.495429926295,2014-07-21T02:00:00.000+02:00
37978.99625760936,-6482.49625760936,2014-07-22T02:00:00.000+02:00
38955.35124073185,-6025.559574065181,2014-07-23T02:00:00.000+02:00
37849.37029882062,-4850.286965487281,2014-07-24T02:00:00.000+02:00
37219.717449688265,-3161.050783021601,2014-07-25T02:00:00.000+02:00
35571.552526573636,-2341.7608599069717,2014-07-26T02:00:00.000+02:00
29895.73499198845,-2892.4016586551206,2014-07-27T02:00:00.000+02:00
29328.012045379768,-4135.387045379768,2014-07-28T02:00:00.000+02:00
35868.56588289043,-6032.232549557097,2014-07-29T02:00:00.000+02:00
36620.25580196878,-5509.6308019687785,2014-07-30T02:00:00.000+02:00
37107.37859855932,-4668.42026522599,2014-07-31T02:00:00.000+02:00
36069.33957299846,-2815.2979063318016,2014-08-01T02:00:00.000+02:00
35023.432545686876,-2408.724212353545,2014-08-02T02:00:00.000+02:00
29027.522703353694,-2674.897703353694,2014-08-03T02:00:00.000+02:00
33220.34580957133,-5467.679142904659,2014-08-04T02:00:00.000+02:00
35728.71134277507,-5783.128009441736,2014-08-05T02:00:00.000+02:00
36226.39542827416,-5222.228761607492,2014-08-06T02:00:00.000+02:00
36432.09962823414,-4349.016294900806,2014-08-07T02:00:00.000+02:00
35062.28921707865,-2375.5808837453205,2014-08-08T02:00:00.000+02:00
33095.50764140545,-2132.5076414054456,2014-08-09T02:00:00.000+02:00
27285.847298820554,-2464.6389654872237,2014-08-10T02:00:00.000+02:00
31496.805786121877,-4960.097452788543,2014-08-11T02:00:00.000+02:00
34975.86584688196,-5685.949180215293,2014-08-12T02:00:00.000+02:00
35824.16575477713,-5326.415754777132,2014-08-13T02:00:00.000+02:00
36042.78339934125,-4558.408399341253,2014-08-14T02:00:00.000+02:00
35181.13104735516,-2661.3810473551603,2014-08-15T02:00:00.000+02:00
32825.10323222306,-1811.0615655563906,2014-08-16T02:00:00.000+02:00
27651.46938321442,-2223.4693832144185,2014-08-17T02:00:00.000+02:00
31246.4421459849,-4933.5671459849,2014-08-18T02:00:00.000+02:00
34455.65565074922,-5754.863984082551,2014-08-19T02:00:00.000+02:00
35112.988843375235,-5360.280510041901,2014-08-20T02:00:00.000+02:00
36667.536826927244,-4990.370160260574,2014-08-21T02:00:00.000+02:00
33053.87221401139,-2576.9972140113896,2014-08-22T02:00:00.000+02:00
32268.266520365447,-2527.3081870321166,2014-08-23T02:00:00.000+02:00
26710.664839083547,-2510.498172416881,2014-08-24T02:00:00.000+02:00
29912.663291705197,-4771.1632917051975,2014-08-25T02:00:00.000+02:00
33021.062387906175,-5569.062387906175,2014-08-26T02:00:00.000+02:00
35034.54264752895,-5721.584314195619,2014-08-27T02:00:00.000+02:00
33949.31347550293,-4406.9801421695975,2014-08-28T02:00:00.000+02:00
31874.06269948974,-1888.9376994897393,2014-08-29T02:00:00.000+02:00
29230.696147568917,-1455.4461475689168,2014-08-30T02:00:00.000+02:00
27545.206387291502,-2491.0397206248363,2014-08-31T02:00:00.000+02:00
27138.82707691453,-5041.993743581197,2014-09-01T02:00:00.000+02:00
34507.24044709431,-5937.282113760977,2014-09-02T02:00:00.000+02:00
36757.70153120911,-5945.909864542444,2014-09-03T02:00:00.000+02:00
